5.7s 1 0.00s - Debugger warning: It seems that frozen modules are being used, which may
5.7s 2 0.00s - make the debugger miss breakpoints. Please pass -Xfrozen_modules=off
5.7s 3 0.00s - to python to disable frozen modules.
5.7s 4 0.00s - Note: Debugging will proceed. Set PYDEVD_DISABLE_FILE_VALIDATION=1 to disable this validation.
6.4s 5 0.00s - Debugger warning: It seems that frozen modules are being used, which may
6.4s 6 0.00s - make the debugger miss breakpoints. Please pass -Xfrozen_modules=off
6.4s 7 0.00s - to python to disable frozen modules.
6.4s 8 0.00s - Note: Debugging will proceed. Set PYDEVD_DISABLE_FILE_VALIDATION=1 to disable this validation.
33.6s 9 /tmp/ipykernel_19/3605133585.py:186: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
33.6s 10 scaler = torch.cuda.amp.GradScaler() if use_bfloat16 else None
54.4s 11 /tmp/ipykernel_19/3147236215.py:26: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
54.4s 12 with torch.cuda.amp.autocast(dtype=torch.bfloat16, enabled=use_bfloat16):
72.2s 13 Validation loss: 0.47929404217463273
73.1s 14 /tmp/ipykernel_19/713041530.py:62: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
73.1s 15 with torch.cuda.amp.autocast(dtype=torch.bfloat16, enabled=use_bfloat16):
73.5s 16 loss: 0.4831468462944031, maskA: 299.0, maskB: 1.0
90.4s 17 loss: 0.3203544996001504, maskA: 299.0, maskB: 1.0
101.0s 18 loss: 0.27804804628803614, maskA: 299.0, maskB: 1.0
104.9s 19 loss: 0.25046550939160006, maskA: 299.0, maskB: 1.0
107.3s 20 loss: 0.22925395282303415, maskA: 299.0, maskB: 1.0
109.8s 21 loss: 0.21129032998692757, maskA: 299.0, maskB: 1.0
112.2s 22 loss: 0.19618005391027107, maskA: 299.0, maskB: 1.0
114.9s 23 loss: 0.1842302221437575, maskA: 299.0, maskB: 1.0
117.3s 24 loss: 0.17260075443320805, maskA: 299.0, maskB: 1.0
119.8s 25 loss: 0.16242135086884865, maskA: 299.0, maskB: 1.0
122.2s 26 loss: 0.15439080616625228, maskA: 299.0, maskB: 1.0
124.6s 27 loss: 0.14719086274638907, maskA: 299.0, maskB: 1.0
127.1s 28 loss: 0.14091399379751898, maskA: 299.0, maskB: 1.0
129.5s 29 loss: 0.1343678589483709, maskA: 299.0, maskB: 1.0
132.0s 30 loss: 0.12812401066329462, maskA: 299.0, maskB: 1.0
134.4s 31 loss: 0.12272497473765683, maskA: 299.0, maskB: 1.0
136.9s 32 loss: 0.11845686617567673, maskA: 299.0, maskB: 1.0
139.3s 33 loss: 0.11414285627199196, maskA: 299.0, maskB: 1.0
141.7s 34 loss: 0.10948512284342427, maskA: 299.0, maskB: 1.0
144.2s 35 loss: 0.10491921347005205, maskA: 299.0, maskB: 1.0
146.6s 36 loss: 0.10058450886507088, maskA: 299.0, maskB: 1.0
149.1s 37 loss: 0.09654235734352709, maskA: 299.0, maskB: 1.0
151.5s 38 loss: 0.09284440798440535, maskA: 299.0, maskB: 1.0
153.9s 39 loss: 0.08939985361240514, maskA: 299.0, maskB: 1.0
156.4s 40 loss: 0.08618928536509948, maskA: 299.0, maskB: 1.0
158.8s 41 loss: 0.08321961031788849, maskA: 299.0, maskB: 1.0
161.3s 42 loss: 0.08042154223497572, maskA: 299.0, maskB: 1.0
163.7s 43 loss: 0.07778243072729599, maskA: 299.0, maskB: 1.0
166.2s 44 loss: 0.07529100632705987, maskA: 299.0, maskB: 1.0
168.6s 45 loss: 0.07295276862297118, maskA: 299.0, maskB: 1.0
187.6s 46 Validation loss: 0.007430429573361881
190.5s 47 loss: 0.07078646799933128, maskA: 299.0, maskB: 1.0
192.9s 48 loss: 0.06876886357370632, maskA: 299.0, maskB: 1.0
195.4s 49 loss: 0.06688248844689623, maskA: 299.0, maskB: 1.0
197.8s 50 loss: 0.06511126898420451, maskA: 299.0, maskB: 1.0
200.3s 51 loss: 0.0634432363752658, maskA: 299.0, maskB: 1.0
202.7s 52 loss: 0.06181416388181837, maskA: 299.0, maskB: 1.0
205.2s 53 loss: 0.06026529807886341, maskA: 299.0, maskB: 1.0
207.6s 54 loss: 0.05881609909507544, maskA: 299.0, maskB: 1.0
210.0s 55 loss: 0.05745805264633941, maskA: 299.0, maskB: 1.0
212.5s 56 loss: 0.05615854439804392, maskA: 299.0, maskB: 1.0
214.9s 57 loss: 0.05494806633105599, maskA: 299.0, maskB: 1.0
217.4s 58 loss: 0.05377037771875515, maskA: 299.0, maskB: 1.0
219.8s 59 loss: 0.05264680956837648, maskA: 299.0, maskB: 1.0
222.3s 60 loss: 0.05156698906059504, maskA: 299.0, maskB: 1.0
224.7s 61 loss: 0.05051671596172175, maskA: 299.0, maskB: 1.0
227.1s 62 loss: 0.04951570543384142, maskA: 299.0, maskB: 1.0
229.6s 63 loss: 0.04856561413368134, maskA: 299.0, maskB: 1.0
232.1s 64 loss: 0.04765028162313637, maskA: 299.0, maskB: 1.0
234.5s 65 loss: 0.04681013847058426, maskA: 299.0, maskB: 1.0
236.9s 66 loss: 0.046023501884173264, maskA: 299.0, maskB: 1.0
239.4s 67 loss: 0.04524092505381121, maskA: 299.0, maskB: 1.0
241.8s 68 loss: 0.044464597419731744, maskA: 299.0, maskB: 1.0
244.2s 69 loss: 0.04370093315789716, maskA: 299.0, maskB: 1.0
246.7s 70 loss: 0.042971466585516704, maskA: 299.0, maskB: 1.0
249.1s 71 loss: 0.04228858677188344, maskA: 299.0, maskB: 1.0
251.6s 72 loss: 0.04162437548884571, maskA: 299.0, maskB: 1.0
254.0s 73 loss: 0.04105464551006834, maskA: 299.0, maskB: 1.0
256.5s 74 loss: 0.040503239772900705, maskA: 299.0, maskB: 1.0
258.9s 75 loss: 0.03992702663361564, maskA: 299.0, maskB: 1.0
261.3s 76 loss: 0.03934643814866565, maskA: 299.0, maskB: 1.0
280.2s 77 Validation loss: 0.007482801611797932
280.5s 78 loss: 0.038799655660924914, maskA: 299.0, maskB: 1.0
282.9s 79 loss: 0.0382630095349201, maskA: 299.0, maskB: 1.0
285.3s 80 loss: 0.03777323941656669, maskA: 299.0, maskB: 1.0
287.8s 81 loss: 0.03728167367612031, maskA: 299.0, maskB: 1.0
290.2s 82 loss: 0.03683161637825708, maskA: 299.0, maskB: 1.0
292.7s 83 loss: 0.03639347325172132, maskA: 299.0, maskB: 1.0
295.1s 84 loss: 0.03595879128514176, maskA: 299.0, maskB: 1.0
297.6s 85 loss: 0.03552357639753761, maskA: 299.0, maskB: 1.0
300.0s 86 loss: 0.03507487381987613, maskA: 299.0, maskB: 1.0
302.5s 87 loss: 0.034651452128259215, maskA: 299.0, maskB: 1.0
304.9s 88 loss: 0.03426330020457251, maskA: 299.0, maskB: 1.0
307.3s 89 loss: 0.03390368570884069, maskA: 299.0, maskB: 1.0
309.8s 90 loss: 0.0335298557649528, maskA: 299.0, maskB: 1.0
312.2s 91 loss: 0.03319174044468681, maskA: 299.0, maskB: 1.0
314.7s 92 loss: 0.03282834127967657, maskA: 299.0, maskB: 1.0
317.1s 93 loss: 0.03245162749018138, maskA: 299.0, maskB: 1.0
319.5s 94 loss: 0.032083647240579875, maskA: 299.0, maskB: 1.0
322.0s 95 loss: 0.03174380783895188, maskA: 299.0, maskB: 1.0
324.4s 96 loss: 0.03143607877450071, maskA: 299.0, maskB: 1.0
326.9s 97 loss: 0.031124342169363037, maskA: 299.0, maskB: 1.0
329.3s 98 loss: 0.030845125308713774, maskA: 299.0, maskB: 1.0
331.8s 99 loss: 0.030562960067316063, maskA: 299.0, maskB: 1.0
334.2s 100 loss: 0.030278220773877602, maskA: 299.0, maskB: 1.0
336.6s 101 loss: 0.02997055040110938, maskA: 299.0, maskB: 1.0
339.1s 102 loss: 0.029669528147405044, maskA: 299.0, maskB: 1.0
341.5s 103 loss: 0.029404202388866544, maskA: 299.0, maskB: 1.0
344.0s 104 loss: 0.02915539356996711, maskA: 299.0, maskB: 1.0
346.4s 105 loss: 0.029001881476185883, maskA: 299.0, maskB: 1.0
348.9s 106 loss: 0.028977537536930196, maskA: 299.0, maskB: 1.0
351.3s 107 loss: 0.028935983811278317, maskA: 299.0, maskB: 1.0
370.2s 108 Validation loss: 0.015226246021950666
370.5s 109 loss: 0.02887711614720755, maskA: 299.0, maskB: 1.0
372.9s 110 loss: 0.028744637492060677, maskA: 299.0, maskB: 1.0
375.4s 111 loss: 0.028587390385804764, maskA: 299.0, maskB: 1.0
377.8s 112 loss: 0.028514583964475003, maskA: 299.0, maskB: 1.0
381.8s 113 loss: 0.020720206201076508, maskA: 299.0, maskB: 1.0
384.2s 114 loss: 0.01712155638431961, maskA: 299.0, maskB: 1.0
386.7s 115 loss: 0.014936596776048342, maskA: 299.0, maskB: 1.0
389.1s 116 loss: 0.012484890799368582, maskA: 299.0, maskB: 1.0
391.6s 117 loss: 0.010844954227029188, maskA: 299.0, maskB: 1.0
394.0s 118 loss: 0.009581017668596377, maskA: 299.0, maskB: 1.0
396.5s 119 loss: 0.008658789002840391, maskA: 299.0, maskB: 1.0
398.9s 120 loss: 0.00804252678882593, maskA: 299.0, maskB: 1.0
401.3s 121 loss: 0.007506009033179761, maskA: 299.0, maskB: 1.0
403.8s 122 loss: 0.007166243989818862, maskA: 299.0, maskB: 1.0
406.2s 123 loss: 0.006784928344780266, maskA: 299.0, maskB: 1.0
408.7s 124 loss: 0.006459665172187997, maskA: 299.0, maskB: 1.0
411.1s 125 loss: 0.006154357923256341, maskA: 299.0, maskB: 1.0
413.5s 126 loss: 0.005902817255980869, maskA: 299.0, maskB: 1.0
416.0s 127 loss: 0.005711159670514101, maskA: 299.0, maskB: 1.0
418.4s 128 loss: 0.005549055237372387, maskA: 299.0, maskB: 1.0
420.9s 129 loss: 0.005430204506026384, maskA: 299.0, maskB: 1.0
423.3s 130 loss: 0.00532926287099022, maskA: 299.0, maskB: 1.0
425.8s 131 loss: 0.005220806231279729, maskA: 299.0, maskB: 1.0
428.2s 132 loss: 0.005130493870804681, maskA: 299.0, maskB: 1.0
430.6s 133 loss: 0.0050399082374587584, maskA: 299.0, maskB: 1.0
433.1s 134 loss: 0.004935557813873576, maskA: 299.0, maskB: 1.0
435.5s 135 loss: 0.004847173826617286, maskA: 299.0, maskB: 1.0
438.0s 136 loss: 0.004774884360104606, maskA: 299.0, maskB: 1.0
440.4s 137 loss: 0.004717230027796569, maskA: 299.0, maskB: 1.0
442.9s 138 loss: 0.0046764006411500894, maskA: 299.0, maskB: 1.0
445.3s 139 loss: 0.004618572596624722, maskA: 299.0, maskB: 1.0
462.8s 140 Validation loss: 0.0035793766922627888
467.3s 141 loss: 0.004602914679506828, maskA: 299.0, maskB: 1.0
469.8s 142 loss: 0.004551432047410473, maskA: 299.0, maskB: 1.0
472.2s 143 loss: 0.004505594807462543, maskA: 299.0, maskB: 1.0
474.6s 144 loss: 0.004466860981323939, maskA: 299.0, maskB: 1.0
477.1s 145 loss: 0.004423077196523643, maskA: 299.0, maskB: 1.0
479.5s 146 loss: 0.004391848400519505, maskA: 299.0, maskB: 1.0
482.0s 147 loss: 0.00435663728336058, maskA: 299.0, maskB: 1.0
484.4s 148 loss: 0.004331618711991438, maskA: 299.0, maskB: 1.0
486.8s 149 loss: 0.00429911159928835, maskA: 299.0, maskB: 1.0
489.3s 150 loss: 0.004258239952656453, maskA: 299.0, maskB: 1.0
491.7s 151 loss: 0.004215872812027116, maskA: 299.0, maskB: 1.0
494.2s 152 loss: 0.004176274444321244, maskA: 299.0, maskB: 1.0
496.6s 153 loss: 0.004146101107449293, maskA: 299.0, maskB: 1.0
499.0s 154 loss: 0.004122680837539329, maskA: 299.0, maskB: 1.0
501.5s 155 loss: 0.004098911306292834, maskA: 299.0, maskB: 1.0
503.9s 156 loss: 0.004094785484186686, maskA: 299.0, maskB: 1.0
506.4s 157 loss: 0.004105153068977898, maskA: 299.0, maskB: 1.0
508.8s 158 loss: 0.004097513857671395, maskA: 299.0, maskB: 1.0
511.3s 159 loss: 0.004092731906468681, maskA: 299.0, maskB: 1.0
513.7s 160 loss: 0.004081879578300483, maskA: 299.0, maskB: 1.0
516.2s 161 loss: 0.004056831157910628, maskA: 299.0, maskB: 1.0
518.6s 162 loss: 0.004056955689153869, maskA: 299.0, maskB: 1.0
521.0s 163 loss: 0.004066993057056351, maskA: 299.0, maskB: 1.0
523.5s 164 loss: 0.0040748357752378945, maskA: 299.0, maskB: 1.0
525.9s 165 loss: 0.004058729628932074, maskA: 299.0, maskB: 1.0
528.4s 166 loss: 0.004041369586571651, maskA: 299.0, maskB: 1.0
530.8s 167 loss: 0.004058969324619532, maskA: 299.0, maskB: 1.0
533.3s 168 loss: 0.004074478156127848, maskA: 299.0, maskB: 1.0
535.7s 169 loss: 0.004090058802797741, maskA: 299.0, maskB: 1.0
538.1s 170 loss: 0.004078988609636292, maskA: 299.0, maskB: 1.0
555.6s 171 Validation loss: 0.0033613955900550652
560.1s 172 loss: 0.004059384878718289, maskA: 299.0, maskB: 1.0
562.5s 173 loss: 0.004045992189210402, maskA: 299.0, maskB: 1.0
565.0s 174 loss: 0.0040217642920555045, maskA: 299.0, maskB: 1.0
567.4s 175 loss: 0.00399710063918644, maskA: 299.0, maskB: 1.0
569.9s 176 loss: 0.003973849218357019, maskA: 299.0, maskB: 1.0
572.3s 177 loss: 0.003952899937264489, maskA: 299.0, maskB: 1.0
574.8s 178 loss: 0.003942688886096875, maskA: 299.0, maskB: 1.0
577.2s 179 loss: 0.0039258605005821085, maskA: 299.0, maskB: 1.0
579.6s 180 loss: 0.003908607972851638, maskA: 299.0, maskB: 1.0
582.1s 181 loss: 0.0038980577808893574, maskA: 299.0, maskB: 1.0
584.5s 182 loss: 0.0038881955787000953, maskA: 299.0, maskB: 1.0
587.0s 183 loss: 0.0038761570796687784, maskA: 299.0, maskB: 1.0
589.4s 184 loss: 0.0038776578029210635, maskA: 299.0, maskB: 1.0
591.8s 185 loss: 0.0038865653355572684, maskA: 299.0, maskB: 1.0
594.3s 186 loss: 0.0038800192639918056, maskA: 299.0, maskB: 1.0
596.8s 187 loss: 0.0038735786861069654, maskA: 299.0, maskB: 1.0
599.2s 188 loss: 0.0038625907930692023, maskA: 299.0, maskB: 1.0
601.6s 189 loss: 0.003847993093677237, maskA: 299.0, maskB: 1.0
604.1s 190 loss: 0.003826535714867112, maskA: 299.0, maskB: 1.0
606.5s 191 loss: 0.0038052640673881897, maskA: 299.0, maskB: 1.0
609.0s 192 loss: 0.0037923815447883018, maskA: 299.0, maskB: 1.0
611.4s 193 loss: 0.00378609555949327, maskA: 299.0, maskB: 1.0
613.8s 194 loss: 0.0037870893065609255, maskA: 299.0, maskB: 1.0
616.3s 195 loss: 0.003787340926088988, maskA: 299.0, maskB: 1.0
618.7s 196 loss: 0.00379890834085262, maskA: 299.0, maskB: 1.0
621.2s 197 loss: 0.0037992713128099723, maskA: 299.0, maskB: 1.0
623.6s 198 loss: 0.0037955994692280277, maskA: 299.0, maskB: 1.0
626.0s 199 loss: 0.003788565203417912, maskA: 299.0, maskB: 1.0
628.5s 200 loss: 0.003790303782262258, maskA: 299.0, maskB: 1.0
630.9s 201 loss: 0.003785908768850224, maskA: 299.0, maskB: 1.0
648.4s 202 Validation loss: 0.0024679388465861287
652.9s 203 loss: 0.0037738409014440107, maskA: 299.0, maskB: 1.0
655.4s 204 loss: 0.0037700295569607725, maskA: 299.0, maskB: 1.0
657.8s 205 loss: 0.003767442395236431, maskA: 299.0, maskB: 1.0
